日付,証明番号,ゲーム,カード番号,キャラ名,セット,仕入値,出品数,全体中央値,TOP中央値,目標価格,損益分岐,乖離率,判定,出品価格
2026-04-15,142491109,Dragon Ball Super Card Game,FB06-119,Son Goku : Childhood Secret Rare-Alternate Art,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,39000,2,589.80,589.80,400.72,346.75,-32%,GO,400.98
2026-04-15,95556152,Dragon Ball Super Card Game,E01-08,Energy Marker,Energy Marker Pack 01,8899,6,199.00,199.00,115.51,92.18,-42%,GO,115.98
2026-04-15,140655515,Dragon Ball Super Card Game,SB02-001,Trunks : Future,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,9400,5,189.98,139.40,120.82,96.41,-36%,GO,120.98
2026-04-15,94156788,Dragon Ball Super Card Game,FB01-096,Vegeta Ultimate,Ultimate Battle Winner Prize,31100,18,460.00,480.07,323.51,279.94,-30%,GO,323.98
2026-04-15,94333124,Dragon Ball Super Card Game,FS04-16,Death Ball FB02,Blazing Aura,20000,2,1000.00,,215.02,186.06,-78%,GO,215.98
2026-04-15,146110685,Dragon Ball Super Card Game,FP-024,Son Goku (mini): Da,Daimatsuri Promo,29800,4,329.00,304.29,310.81,268.95,-6%,GO,310.98
2026-04-15,92424556,Dragon Ball Super Card Game,E01-07,Energy Marker,Energy Marker Pack 01,15200,21,262.13,262.13,168.11,145.47,-36%,GO,168.98
2026-04-15,136817578,Dragon Ball Super Card Game,SB01-002,Android 16,Manga Booster 01,28000,3,340.00,306.70,293.21,253.72,-14%,GO,293.98
2026-04-15,99922323,Dragon Ball Super Card Game,FP-024,Son Goku (mini): Da,Daimatsuri Promo,19000,4,329.00,304.29,205.25,177.61,-38%,GO,205.98
2026-04-15,91722493,Dragon Ball Super Card Game,E01-12,Energy Marker,Energy Marker Pack 01,7200,7,118.65,118.65,97.51,77.81,-18%,GO,97.98
2026-04-15,89002149,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,7999,2,430.00,430.00,97.73,84.57,-77%,GO,97.98
2026-04-15,91128228,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,9999,2,430.00,430.00,117.28,101.48,-73%,GO,117.98
2026-04-15,91777542,Dragon Ball Super Card Game,E01-09,Energy Marker,Energy Marker Pack 01,16999,2,230.00,110.00,185.69,160.68,-19%,GO,185.98
2026-04-15,92637834,Dragon Ball Super Card Game,FB01-035,Goku Black,Awakened Pulse,13999,21,188.86,209.40,169.57,135.31,-10%,GO,169.98
2026-04-15,152778879,Dragon Ball Super Card Game,FB07-113,Bulma,Wish For Shenron,44997,6,1100.00,1592.46,459.34,397.47,-58%,GO,459.98
2026-04-15,140071494,Dragon Ball Super Card Game,E-73,Energy Marker,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,35555,16,2000.00,3535.00,367.05,317.62,-82%,GO,367.98
2026-04-15,88466157,Dragon Ball Super Card Game,E01-03,Energy Marker,Energy Marker Pack 01,16400,33,239.53,292.19,179.84,155.62,-25%,GO,179.98
2026-04-15,146110685,Dragon Ball Super Card Game,FP-024,Son Goku (mini): Da,Daimatsuri Promo,29800,4,329.00,304.29,310.81,268.95,-6%,GO,310.98
2026-04-15,99922323,Dragon Ball Super Card Game,FP-024,Son Goku (mini): Da,Daimatsuri Promo,19000,4,329.00,304.29,205.25,177.61,-38%,GO,205.98
2026-04-16,92862502,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,8480,2,430.00,430.00,128.01,110.29,-70%,GO,128.98
2026-04-16,139561551,Dragon Ball Super Card Game,SB02-017,Gotenks,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,22000,11,350.00,361.40,275.54,237.40,-21%,GO,275.98
2026-04-16,155455140,Dragon Ball Super Card Game,SB01-023,Son Goku,Manga Booster 01,42000,15,1299.00,3150.41,512.96,432.36,-61%,GO,512.98
2026-04-16,145707960,Dragon Ball Super Card Game,E01-02,Energy Marker,Energy Marker Pack 01,16500,15,222.04,313.93,220.06,180.00,-1%,GO,220.98
2026-04-16,153610059,Dragon Ball Super Card Game,FB03-139,Son Gohan : Youth Secret Rare-Alternate Art,Raging Roar,32000,1,613.39,613.39,400.94,335.84,-35%,GO,400.98
2026-04-16,89003768,Dragon Ball Super Card Game,E01-07,Energy Marker,Energy Marker Pack 01,15700,21,262.13,262.13,211.99,173.04,-19%,GO,211.98
2026-04-16,142491109,Dragon Ball Super Card Game,FB06-119,Son Goku : Childhood Secret Rare-Alternate Art,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,39000,2,660.58,660.58,471.55,406.28,-29%,GO,471.98
2026-04-16,95556152,Dragon Ball Super Card Game,E01-08,Energy Marker,Energy Marker Pack 01,8899,6,199.00,199.00,143.78,113.93,-28%,GO,143.98
2026-04-16,140655515,Dragon Ball Super Card Game,SB02-001,Trunks : Future,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,9400,5,189.98,139.40,149.28,118.29,-21%,GO,149.98
2026-04-16,94156788,Dragon Ball Super Card Game,FB01-096,Vegeta Ultimate,Ultimate Battle Winner Prize,31100,18,460.00,480.07,380.71,328.02,-17%,GO,380.98
2026-04-16,94333124,Dragon Ball Super Card Game,FS04-16,Death Ball FB02,Blazing Aura,20000,2,1000.00,,255.36,220.02,-74%,GO,255.98
2026-04-16,146110685,Dragon Ball Super Card Game,FP-024,Son Goku (mini): Da,Daimatsuri Promo,29800,4,329.00,305.92,367.60,316.72,12%,保留,367.98
2026-04-16,92424556,Dragon Ball Super Card Game,E01-07,Energy Marker,Energy Marker Pack 01,15200,21,262.13,262.13,206.94,168.70,-21%,GO,206.98
2026-04-16,136817578,Dragon Ball Super Card Game,SB01-002,Android 16,Manga Booster 01,28000,3,340.00,306.70,349.44,301.07,3%,保留,349.98
2026-04-16,99922323,Dragon Ball Super Card Game,FP-024,Son Goku (mini): Da,Daimatsuri Promo,19000,4,329.00,305.92,245.28,211.33,-25%,GO,245.98
2026-04-16,91722493,Dragon Ball Super Card Game,E01-12,Energy Marker,Energy Marker Pack 01,7200,7,118.65,118.65,125.15,91.48,5%,保留,125.98
2026-04-16,89002149,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,7999,2,430.00,430.00,123.16,106.11,-71%,GO,123.98
2026-04-16,91128228,Dragon Ball Super Card Game,FB01-090,Son Gohan : Childhood,Ultimate Battle Top Prize,9999,2,430.00,430.00,143.33,123.49,-67%,GO,143.98
2026-04-16,91777542,Dragon Ball Super Card Game,E01-09,Energy Marker,Energy Marker Pack 01,16999,2,230.00,110.00,225.09,184.33,-2%,GO,225.98
2026-04-16,92637834,Dragon Ball Super Card Game,FB01-035,Goku Black,Awakened Pulse,13999,22,188.86,209.40,199.73,158.26,6%,保留,199.98
2026-04-16,152778879,Dragon Ball Super Card Game,FB07-113,Bulma,Wish For Shenron,44997,5,1100.00,1592.46,543.19,458.41,-51%,GO,543.98
2026-04-16,140071494,Dragon Ball Super Card Game,E-73,Energy Marker,DRAGON BALL SUPER FUSION WORLD JAPANESE MANGA BOOSTER 02,35555,13,3000.00,3479.68,436.80,366.74,-85%,GO,436.98
2026-04-16,88466157,Dragon Ball Super Card Game,E01-03,Energy Marker,Energy Marker Pack 01,16400,32,244.24,292.19,219.05,179.13,-10%,GO,219.98
